content_id,title,author_name,location_name,content_date,file_name,series,book,content_type,active_ind
1,God's Joy in Our Lives,Don Elwell,Clackamas,10/16/2011,p2011-10-16pm.mp3,,,Message,Y
2,The Fatherly Bond,Steve Elwell,Clackamas,10/30/2011,p2011-10-30am.mp3,,,Message,Y
3,Keep your eyes on the Prize,Don Elwell,Clackamas,10/30/2011,p2011-10-30pm.mp3,,,Message,Y
4,Fear God,Steve Elwell,Clackamas,11/13/2011,p2011-11-13am.mp3,,,Message,Y
5,Pluses and Minuses,Mary Lawson,Clackamas,1/15/2012,p2012-01-29am.mp3,,,Message,Y
7,Smoke and Mirrors,Steve Elwell,Clackamas,9/25/2011,p2011-09-25am.mp3,,,Message,Y
8,Open mouth - I will fill it,Steve Elwell,Clackamas,3/1/2012,p2012-02-05am.mp3,,,Message,Y
9,Can't Take Jesus Away,Joe Elwell Family,Clackamas,1/29/2012,ssp20120129.mp3,,,Special Song,Y
10,You Were Faithful Yesterday,Joe Elwell Family,Clackamas,1/29/2012,ssa20120129.mp3,,,Special Song,Y
11,Law of God,Steve Elwell,Clackamas,5/27/2012,p2012-05-27am.mp3,,,Message,Y
12,Spiritual Commerce,Don Elwell,Clackamas,5/27/2012,p2012-05-27pm.mp3,,,Message,Y
13,Awesome Gospel Workers,Don Elwell,Clackamas,5/13/2012,p2012-05-13am.mp3,,,Message,Y
14,The Mark of a Child of God,Don Elwell,Clackamas,4/29/2012,p2012-04-29am.mp3,,,Message,Y
15,Inversely Proportional,Don Elwell,Clackamas,5/6/2012,p2012-05-06am.mp3,,,Message,Y
17,God Knows the Way,Darrell Johnson,Clackamas,2/25/2016,p2016-02-25pm.mp3,,,Message,Y
18,Follow God,Darrell Johnson,Clackamas,2/26/2016,p2016-02-26pm.mp3,,,Message,Y
19,Relationships,Darrell Johnson,Clackamas,2/27/2016,p2016-02-27pm.mp3,,,Message,Y
20,Through The Fire,Darrell Johnson,Clackamas,2/28/2016,2016-02-28.mp3,,,Message,Y
21,"Hope, Love and Patience",Steve Elwell,Clackamas,8/19/2012,p2012-08-19am..mp3,,,Message,Y
22,Come and Learn of Me,Don Elwell,Clackamas,8/26/2012,p2012-08-26am.mp3,,,Message,Y
23,Christ the Source of Life,Ken Elwell,Clackamas,9/2/2012,p2012-09-02am..mp3,,,Message,Y
24,Gem Production Process,Don Elwell,Clackamas,3/6/2016,p2016-03-06am.mp3,,,Message,Y
25,Ministry of Reconciliation,Don Elwell,Clackamas,3/13/2016,Record_0005.mp3,,,Message,Y
26,Safety in the Love of God,Steve Elwell,Clackamas,9/23/2012,p2012-09-23am.mp3,,,Message,Y
27,Keep the Faith,Steve Elwell,Clackamas,10/28/2012,p2012-10-28am.mp3,,,Message,Y
28,By One Man,Steve Elwell,Clackamas,11/4/2012,p2012-11-04am.mp3,,,Message,Y
29,God's Covenant is Sure,Steve Elwell,Clackamas,11/11/2012,p2012-11-11am.mp3,,,Message,Y
30,Give Thanks in All Things,Steve Elwell,Clackamas,11/18/2012,p2012-11-18am.mp3,,,Message,Y
31,Repairing the Breach,Don Elwell,Clackamas,11/25/2012,p2012-11-25am.mp3,,,Message,Y
32,Cast of Characters,Don Elwell,Clackamas,4/3/2016,p2016-04-03am.mp3,,,Message,Y
33,Be Ye Steadfast,Don Elwell,Clackamas,4/10/2016,p2016-04-10am.mp3,,,Message,Y
34,A Friend Closer Than Brother,Steve Elwell,Clackamas,12/9/2012,p2012-12-09am.mp3,,,Message,Y
35,"Jesus, Light of the World",Steve Elwell,Clackamas,12/16/2012,p2012-12-16am.mp3,,,Message,Y
36,God's Heritage,Steve Elwell,Clackamas,12/23/2012,p2012-12-23am.mp3,,,Message,Y
37,God's Order,Steve Elwell,Clackamas,4/22/2012,p2012-04-22am.mp3,,,Message,Y
38,No Shame in the Gospel,Don Elwell,Clackamas,4/22/2012,p2012-04-22pm.mp3,,,Message,Y
39,God Our Refuge,Steve Elwell,Clackamas,7/7/2013,p2013-07-07am.mp3,,,Message,Y
40,The Lord is My Shepherd,Steve Elwell,Clackamas,7/14/2013,p2013-07-14am.mp3,,,Message,Y
41,A Continuing City,Steve Elwell,Clackamas,8/4/2013,p2013-08-04am.mp3,,,Message,Y
42,Your Personal Advocate,Steve Elwell,Clackamas,9/8/2013,p2013-09-08am.mp3,,,Message,Y
43,Never Alone,Steve Elwell,Clackamas,9/29/2013,p2013-09-29.mp3,,,Message,Y
44,Perfecting the Love of God,Steve Elwell,Clackamas,1/13/2013,p2013-01-13am.mp3,,,Message,Y
45,The Prize,Steve Elwell,Clackamas,3/31/2013,p2013-03-31am.mp3,,,Message,Y
46,Your Heart in the Game,Steve Elwell,Clackamas,4/14/2013,p2013-04-14am.mp3,,,Message,Y
47,God's Generosity,Don Elwell,Clackamas,4/14/2013,p2013-04-14pm.mp3,,,Message,Y
48,Grafted into God's Family,Ken Elwell,Clackamas,4/28/2013,p2013-04-28am.mp3,,,Message,Y
49,Resist the Devil,Steve Elwell,Clackamas,5/5/2013,p2013-05-05am.mp3,,,Message,Y
50,Behold The City of Zion,Don Elwell,Clackamas,4/24/2016,Behold the City of Zion(1).mp3,,,Message,Y
51,Encourage Yourself in the Lord,Don Elwell,Clackamas,5/8/2016,p2016-05-08am.mp3,,,Message,Y
52,What Effects Our Motivation,Don Elwell,Clackamas,5/1/2016,p2016-05-01am.mp3,,,Message,Y
53,When the Going Gets Tough ...,Don Elwell,Clackamas,5/15/2016,p2016-05-15am.mp3,,,Message,Y
54,Time to Remember,Don Elwell,Clackamas,5/29/2016,p2016-05-29am.mp3,,,Message,Y
55,I'm Not Who I Used To Be,Don Elwell,Clackamas,6/5/2016,p2016-06-05am.mp3,,,Message,Y
56,Christ our Stabilizing Force,Don Elwell,Clackamas,6/12/2016,p2016-06-12am.mp3,,,Message,Y
57,He Maketh the Storm a Calm,Huyen Hoang,Clackamas,7/3/2016,p2016-07-03am.mp3,,,Message,Y
58,Carefully Maintain Good Works,Don Elwell,Clackamas,7/10/2016,p2016-07-10am.mp3,,,Message,Y
59,Hope,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-198.mp3,,,Singing,Y
60,The Solid Rock,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-51.mp3,,,Singing,Y
61,Beautiful,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-182.mp3,,,Singing,Y
62,Sweet Bye and Bye,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-byeNbye.mp3,,,Singing,Y
63,Sitting at the Feet of Jesus,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-175.mp3,,,Singing,Y
64,Lighthouse,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-lighthouse.mp3,,,Singing,Y
65,What a Friend,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-179.mp3,,,Singing,Y
66,God is Love,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-140.mp3,,,Singing,Y
67,Abide With Me,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-342.mp3,,,Singing,Y
68,The Virtue of Faith,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-284.mp3,,,Singing,Y
69,Holding On to Jesus,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-holding.mp3,,,Singing,Y
70,Amazing Love,Joe Elwell Family,Clackamas,7/3/2016,2016-07-03-amazing.mp3,,,Singing,Y
71,Soaring Like Eagles,Fari Matthews,Clackamas,8/7/2016,p2016-08-07am.mp3,,,Message,Y
72,Taking God at His Word,Ken Elwell,Clackamas,8/21/2016,p2016-08-21am.mp3,,,Message,Y
73,Spiritual Maintenance,Don Elwell,Clackamas,8/28/2016,p2016-08-28am.mp3,,,Message,Y
74,A Time to Build,Don Elwell,Clackamas,9/11/2016,p2016-09-11am.mp3,,,Message,Y
75,A Love Beyond Nostalgia,Huyen Hoang,Clackamas,9/4/2016,p2016-09-04am.mp3,,,Message,Y
76,Our Greatest Thoughts,Huyen Hoang,Clackamas,10/30/2016,Our Greatest Thoughts .mp3,,,Message,Y
77,Passive Agressive,Huyen Hoang,Clackamas,11/13/2016,Passive Aggressive.mp3,,,Message,Y
78,Take the Shield of Faith,Don Elwell,Clackamas,10/23/2016,p2016-10-23am.mp3,,,Message,Y
79,Covenant Wrought By Faith,Don Elwell,Gladstone,11/6/2016,p2016-11-06am.mp3,,,Message,Y
80,Robbing God,Don Elwell,Clackamas,12/11/2016,p2016-12-11am.mp3,,,Message,Y
81,Remember Me,Huyen Hoang,Clackamas,12/18/2016,p2016-12-18am.mp3,,,Message,Y
82,The Love Mender,Huyen Hoang,Clackamas,11/27/2016,p2016-11-27am.mp3,,,Message,Y
83,Not Coming This Way Before,Huyen Hoang,Clackamas,1/1/2017,YeHaveNotGoneThisWay.mp3,,,Message,Y
84,A Cheat Sheet,Huyen Hoang,Clackamas,1/1/2017,A Cheat Sheet.mp3,,,Message,Y
85,Building Confidence,Don Elwell,Clackamas,1/15/2017,Building Confidence.mp3,,,Message,Y
86,A Friend Closer Than A Brother,Steve Elwell,Clackamas,2/15/2015,FriendCloser.mp3,,,Message,Y
87,God Has One True Doctrine,Steve Elwell,Clackamas,2/1/2015,God Has One True Doctrine.mp3,,,Message,Y
88,God Hath Commanded a Blessing,Steve Elwell,Clackamas,3/15/2015,GodCommandedBlessing.mp3,,,Message,Y
89,God's Wisdom,Steve Elwell,Clackamas,3/1/2015,Gods Wisdom.mp3,,,Message,Y
90,I Am Not Alone,Steve Elwell,Clackamas,3/15/2015,I Am Not Alone.mp3,,,Message,Y
91,The Glory of His Love,Steve Elwell,Clackamas,1/11/2015,The Glory of His Love.mp3,,,Message,Y
92,The Hard Facts; Through Faith,Steve Elwell,Clackamas,1/25/2015,TheHardFacts.mp3,,,Message,Y
93,The Perfect Author,Steve Elwell,Clackamas,1/4/2015,ThePerfectAuthor.mp3,,,Message,Y
94,The Star,Steve Elwell,Clackamas,11/2/2014,The Star.mp3,,,Message,Y
95,A Sustaining Strength,Don Elwell,Clackamas,3/15/2015,A Sustaining Strength.mp3,,,Message,Y
96,"Lord, I've Seen My Salvation!",Don Elwell,Clackamas,3/1/2015,LordSeenSalvation.mp3,,,Message,Y
